Date,MKT_RF,SMB,HML,MOM,RF
2008-04-01,0.07996646632947146,0.0,0.0,0.0,-0.000282461790450661
2008-05-01,0.007331670560589032,0.0,0.0,0.0,0.0013067933755745997
2008-06-01,-0.08236372331895558,0.0,0.0,0.0,0.0024901523928166913
2008-07-01,-0.03324605763399879,0.0,0.0,0.0,0.001680038884638968
2008-08-01,-0.01728304821117166,0.0,0.0,0.0,0.0005678177283656716
2008-09-01,-0.1277576923132976,0.0,0.0,0.0,0.005147958408690867
2008-10-01,-0.18174347892227194,0.0,0.0,0.0,-0.002320264970159358
2008-11-01,-0.0874055224997422,0.0,0.0,0.0,-0.00015767538869271291
2008-12-01,0.05450036114739887,0.0,0.0,0.0,0.00015149398607539055
2009-01-01,-0.11696451699202848,0.0,0.0,0.0,0.00314569438739265
2009-02-01,-0.09689172261964818,0.0,0.0,0.0,-0.00021883779687736915
2009-03-01,0.09217830225983903,0.0,0.0,0.0,-4.290484243529846e-05
2009-04-01,0.1271906004231389,0.0,0.0,0.0,0.0005889271949659491
2009-05-01,0.10467686952451771,0.0,0.0,0.0,0.00017456695331996563
2009-06-01,-0.022836165074439863,0.0,0.0,0.0,-0.00010987081867541715
2009-07-01,0.10349679215337892,0.0,0.0,0.0,-0.0005662415428693279
2009-08-01,0.02900101586026116,0.0,0.0,0.0,0.0006758989486443934
2009-09-01,0.048373454633074964,0.0,0.0,0.0,0.00026221031436257647
2009-10-01,-0.027037185690991006,0.0,0.0,0.0,4.367337463362375e-05
2009-11-01,0.05436505024274507,0.0,0.0,0.0,-0.00039243525071674945
2009-12-01,0.011724292634935463,0.0,0.0,0.0,0.0002399325877615599
2010-01-01,-0.04671397489225382,0.0,0.0,0.0,8.695089949584123e-05
2010-02-01,0.0219409158273165,0.0,0.0,0.0,-0.00021796634461823672
2010-03-01,0.06329438093444173,0.0,0.0,0.0,0.0
2010-04-01,-0.0018624858660228893,0.0,0.0,0.0,-0.00043623043791796157
2010-05-01,-0.09419330338856413,0.0,0.0,0.0,0.0004364208179625795
2010-06-01,-0.04444794010507058,0.0,0.0,0.0,0.0002180138643033125
2010-07-01,0.1036799067232197,0.0,0.0,0.0,-0.00043583135667280004
2010-08-01,-0.04281226480109901,0.0,0.0,0.0,0.0
2010-09-01,0.09809400912619215,0.0,0.0,0.0,0.0
2010-10-01,0.03727358598159758,0.0,0.0,0.0,0.00021796000585960762
2010-11-01,-0.02186054826968331,0.0,0.0,0.0,0.0
2010-12-01,0.06772130006516341,0.0,0.0,0.0,-0.0002179125096476442
2011-01-01,0.020545338647396383,0.0,0.0,0.0,0.0
2011-02-01,0.03107167914160458,0.0,0.0,0.0,0.0
2011-03-01,-0.0086101978950065,0.0,0.0,0.0,0.0
2011-04-01,0.0481804571598663,0.0,0.0,0.0,0.0
2011-05-01,-0.019748468101494665,0.0,0.0,0.0,0.00021796000585960762
2011-06-01,-0.029174973972051044,0.0,0.0,0.0,0.0
2011-07-01,-0.011157402423836227,0.0,0.0,0.0,0.0
2011-08-01,-0.07359434472096538,0.0,0.0,0.0,0.0
2011-09-01,-0.10417808144504415,0.0,0.0,0.0,-0.0002179125096476442
2011-10-01,0.11367765911335803,0.0,0.0,0.0,-0.00043622414195987336
2011-11-01,-0.011699183555602954,0.0,0.0,0.0,0.00021795370578092665
2011-12-01,-0.020223503707798574,0.0,0.0,0.0,-0.00021790621231443374
2012-01-01,0.06673094494066201,0.0,0.0,0.0,-0.00017444410141609357
2012-02-01,0.04924255178468884,0.0,0.0,0.0,0.00021799173315306675
2012-03-01,0.011357763856344238,0.0,0.0,0.0,-0.0002179442231140527
2012-04-01,-0.011658980886471992,0.0,0.0,0.0,0.00021799173315306675
2012-05-01,-0.09279875282098604,0.0,0.0,0.0,0.0
2012-06-01,0.03681767072907394,0.0,0.0,0.0,-0.00043680119541744666
2012-07-01,0.02215800430552517,0.0,0.0,0.0,0.0
2012-08-01,0.027808972975466473,0.0,0.0,0.0,0.0
2012-09-01,0.027056993637839533,0.0,0.0,0.0,0.0
2012-10-01,-0.005359196129333332,0.0,0.0,0.0,0.00021895261106563702
2012-11-01,0.016149931252464667,0.0,0.0,0.0,-0.00021890468131413598
2012-12-01,0.01885995276904917,0.0,0.0,0.0,0.0
2013-01-01,0.048014571768886904,0.0,0.0,0.0,0.0
2013-02-01,-0.0010022809311482916,0.0,0.0,0.0,0.0
2013-03-01,0.018258476432998716,0.0,0.0,0.0,0.0
2013-04-01,0.02859201325741134,0.0,0.0,0.0,-0.00021773508032763011
2013-05-01,-0.004049755909623198,0.0,0.0,0.0,0.00021778249921755588
2013-06-01,-0.038059176261249106,0.0,0.0,0.0,-0.00021773508032763011
2013-07-01,0.05913149099514636,0.0,0.0,0.0,0.0
2013-08-01,-0.02294864909909078,0.0,0.0,0.0,0.0
2013-09-01,0.05561040636216874,0.0,0.0,0.0,-0.00021828991417383037
2013-10-01,0.03972207890064494,0.0,0.0,0.0,-0.00021904811110595723
2013-11-01,0.015740251611701672,0.0,0.0,0.0,-0.0002181823571999475
2013-12-01,0.012297874631597594,0.0,0.0,0.0,0.0
2014-01-01,-0.038430200007848025,0.0,0.0,0.0,0.0
2014-02-01,0.05182899732083013,0.0,0.0,0.0,0.00021822997112952436
2014-03-01,0.005926636710496536,0.0,0.0,0.0,-0.0002181823571999475
2014-04-01,0.01186812555138883,0.0,0.0,0.0,0.0
2014-05-01,0.020057604775541638,0.0,0.0,0.0,0.0
2014-06-01,0.004384806874308422,0.0,0.0,0.0,-0.00021853461976295563
2014-07-01,-0.00046215014685102584,0.0,0.0,0.0,-0.00021898867454772653
2014-08-01,0.025542976553525998,0.0,0.0,0.0,0.00021903664109146348
2014-09-01,-0.033158233705337437,0.0,0.0,0.0,0.0
2014-10-01,0.012273046892104067,0.0,0.0,0.0,-0.00021898867454772653
2014-11-01,0.013756291272667198,0.0,0.0,0.0,0.0
2014-12-01,-0.031719789253721875,0.0,0.0,0.0,-0.00021812229518702875
2015-01-01,-0.004420710592293431,0.0,0.0,0.0,-0.0002183731152108903
2015-02-01,0.05508410650516726,0.0,0.0,0.0,0.0
2015-03-01,-0.014611949158415016,0.0,0.0,0.0,0.0
2015-04-01,0.028875834987018068,0.0,0.0,0.0,-0.0002186240891425273
2015-05-01,0.0002188752172359587,0.0,0.0,0.0,-0.0002188752172359587
2015-06-01,-0.037090968047642225,0.0,0.0,0.0,0.0
2015-07-01,0.020082027351190357,0.0,0.0,0.0,0.0
2015-08-01,-0.06806788796165242,0.0,0.0,0.0,0.0
2015-09-01,-0.03393430268065589,0.0,0.0,0.0,-0.00043754121967742865
2015-10-01,0.07678557988263301,0.0,0.0,0.0,-0.0002189172365686387
2015-11-01,-0.0055574669230565865,0.0,0.0,0.0,0.00021896517181896336
2015-12-01,-0.03336839910834166,0.0,0.0,0.0,-0.0002189172365686387
2016-01-01,-0.04096881569454047,0.0,0.0,0.0,0.00021896517181896336
2016-02-01,-0.012485763866650346,0.0,0.0,0.0,0.0
2016-03-01,0.07394635326001331,0.0,0.0,0.0,0.0
2016-04-01,0.012940545426351813,0.0,0.0,0.0,0.0004377327457969482
2016-05-01,0.0033447480713688638,0.0,0.0,0.0,0.0
2016-06-01,-0.013290283389427171,0.0,0.0,0.0,-0.00021851640276249196
2016-07-01,0.050952252433756895,0.0,0.0,0.0,0.0004375351454530829
2016-08-01,0.00342740844991396,0.0,0.0,0.0,0.0
2016-09-01,0.009175086274413324,0.0,0.0,0.0,0.00021867189608659743
2016-10-01,-0.019338566506649002,0.0,0.0,0.0,0.00021842081244405342
2016-11-01,0.0107870451786517,0.0,0.0,0.0,-0.00043694946272998525
2016-12-01,0.01068164401588978,0.0,0.0,0.0,-0.0004373437921733059
2017-01-01,0.03752853367200415,0.0,0.0,0.0,0.00109353274846824
2017-02-01,0.02490784192368145,0.0,0.0,0.0,0.0002194429501667372
2017-03-01,0.01361009077473474,0.0,0.0,0.0,-0.00015276379051254452
2017-04-01,0.015423905070849564,0.0,0.0,0.0,0.0006999357257861938
2017-05-01,0.02200386595433601,0.0,0.0,0.0,8.68978101040696e-05
2017-06-01,-0.004006059629704128,0.0,0.0,0.0,0.0008099268467249843
2017-07-01,0.03836671377282741,0.0,0.0,0.0,0.0003721289324818411
2017-08-01,0.0030285585519940206,0.0,0.0,0.0,0.0009845733946185486
2017-09-01,0.018100714015981012,0.0,0.0,0.0,0.0007002019474384724
2017-10-01,0.020783117354712388,0.0,0.0,0.0,0.0007221821459770794
2017-11-01,0.019718133917996594,0.0,0.0,0.0,0.00048103988767378425
2017-12-01,0.005268201721427834,0.0,0.0,0.0,-0.00010928387218744895
2018-01-01,0.06390433805832307,0.0,0.0,0.0,0.002934405625387937
2018-02-01,-0.044641669728122,0.0,0.0,0.0,-0.00010897603656268018
2018-03-01,-0.016352402251567866,0.0,0.0,0.0,0.0013779258238946213
2018-04-01,0.003289353980603149,0.0,0.0,0.0,0.0007551198636999157
2018-05-01,0.003246952385970392,0.0,0.0,0.0,0.0014761011853678951
2018-06-01,-0.018008209607422443,0.0,0.0,0.0,0.0012794380759404422
2018-07-01,0.04067420992827264,0.0,0.0,0.0,0.0013780329014259074
2018-08-01,0.005459897516745249,0.0,0.0,0.0,0.0014977695767319776
2018-09-01,0.004729658284882143,0.0,0.0,0.0,0.0013670755388017763
2018-10-01,-0.07595173649134723,0.0,0.0,0.0,0.0016181700202457794
2018-11-01,0.01404100266274022,0.0,0.0,0.0,0.0018158420020961685
2018-12-01,-0.08119740433914036,0.0,0.0,0.0,3.982533800517274e-07
2019-01-01,0.08589346627111083,0.0,0.0,0.0,0.005226077899723958
2019-02-01,0.024777501970383975,0.0,0.0,0.0,-0.00010934643615301276
2019-03-01,0.013919489609467428,0.0,0.0,0.0,0.0018484936525080542
2019-04-01,0.03237534820367838,0.0,0.0,0.0,0.00185912310058578
2019-05-01,-0.0628513145076891,0.0,0.0,0.0,0.002143552697792428
2019-06-01,0.04985405679686705,0.0,0.0,0.0,0.0017938966742696572
2019-07-01,0.011367154743994412,0.0,0.0,0.0,0.001924966038829412
2019-08-01,-0.02390277346301617,0.0,0.0,0.0,0.0018042177035073603
2019-09-01,0.02098326093558356,0.0,0.0,0.0,0.00147611045678131
2019-10-01,0.0254428264132871,0.0,0.0,0.0,0.0019468612876001323
2019-11-01,0.02229956572805114,0.0,0.0,0.0,0.0010608458383785102
2019-12-01,0.02195571071988689,0.0,0.0,0.0,9.740196112373312e-05
2020-01-01,-0.0062049005410160785,0.0,0.0,0.0,0.0037455644503232577
2020-02-01,-0.07489445358191849,0.0,0.0,0.0,0.0
2020-03-01,-0.136264777127732,0.0,0.0,0.0,0.0021656222689334648
2020-04-01,0.09799427605455802,0.0,0.0,0.0,0.00029569159608811013
2020-05-01,0.05069114757164339,0.0,0.0,0.0,0.00024037823384293056
2020-06-01,0.020616950133305778,0.0,0.0,0.0,0.00015285195300340781
2020-07-01,0.062385342163777,0.0,0.0,0.0,0.00010905259540816559
2020-08-01,0.0602550130565811,0.0,0.0,0.0,0.0
2020-09-01,-0.029289714375769327,0.0,0.0,0.0,-0.0002184687644380956
2020-10-01,-0.022381976293134875,0.0,0.0,0.0,0.00010945197203882095
2020-11-01,0.11771906400176224,0.0,0.0,0.0,-0.00010943999361567869
2020-12-01,0.03881836819016593,0.0,0.0,0.0,0.0
2021-01-01,0.004610285327469654,0.0,0.0,0.0,3.3029311916177306e-05
2021-02-01,0.022997727955577862,0.0,0.0,0.0,-0.00010964207094110723
2021-03-01,0.028646599471082945,0.0,0.0,0.0,-0.000109266623347537
2021-04-01,0.04245930656300967,0.0,0.0,0.0,0.0
2021-05-01,0.01482833226242164,0.0,0.0,0.0,-0.00010918168568774256
2021-06-01,0.005583840229659742,0.0,0.0,0.0,-0.00021858099273552867
2021-07-01,0.016471667503135112,0.0,0.0,0.0,-0.00010941130033637059
2021-08-01,0.02185061894576701,0.0,0.0,0.0,-0.00010932635195404217
2021-09-01,-0.04237904286846905,0.0,0.0,0.0,0.00010933830551218549
2021-10-01,0.05405226745937197,0.0,0.0,0.0,-0.00010932635195404217
2021-11-01,-0.022856061581974285,0.0,0.0,0.0,-0.0002184827487805574
2021-12-01,0.02818816703774396,0.0,0.0,0.0,0.0
2022-01-01,-0.035547206052680136,0.0,0.0,0.0,0.0
2022-02-01,-0.0303844405042627,0.0,0.0,0.0,-0.00021882135083650667
2022-03-01,0.01919283295956342,0.0,0.0,0.0,0.0002188692441000839
2022-04-01,-0.08080846442950418,0.0,0.0,0.0,0.00013098256312815693
2022-05-01,0.004141514988532657,0.0,0.0,0.0,0.0003281405694097739
2022-06-01,-0.08997532216228055,0.0,0.0,0.0,0.00043763565881715927
2022-07-01,0.08052604435253397,0.0,0.0,0.0,0.00012040371180521703
2022-08-01,-0.045097561308357514,0.0,0.0,0.0,0.0014548402421536988
2022-09-01,-0.09555486996379614,0.0,0.0,0.0,0.0016083380577658346
2022-10-01,0.06206027504712819,0.0,0.0,0.0,0.001411288142244338
2022-11-01,0.08079379253601693,0.0,0.0,0.0,0.002569830506121251
2022-12-01,-0.0535073579585259,0.0,0.0,0.0,8.934613249533818e-05
2023-01-01,0.07467817122156983,0.0,0.0,0.0,0.008679648490440117
2023-02-01,-0.03298718680837365,0.0,0.0,0.0,-0.0002181343223106591
2023-03-01,0.02844558073471526,0.0,0.0,0.0,0.004880103888158072
2023-04-01,0.013335555767097551,0.0,0.0,0.0,0.0023512413077522165
2023-05-01,-0.014434885187164181,0.0,0.0,0.0,0.003958584119557518
2023-06-01,0.04274300996374025,0.0,0.0,0.0,0.004408252854373629
2023-07-01,0.04269712262661596,0.0,0.0,0.0,0.0038403274756071415
2023-08-01,-0.03381229686036158,0.0,0.0,0.0,0.004734907027903468
2023-09-01,-0.04667119268213116,0.0,0.0,0.0,0.0038732330451223262
2023-10-01,-0.029869692773410894,0.0,0.0,0.0,0.004428561705454692
2023-11-01,0.08434068675089001,0.0,0.0,0.0,0.004528403750602594
2023-12-01,0.03871581179274319,0.0,0.0,0.0,-0.0004584084825788315
2024-01-01,-0.0012420144491529506,0.0,0.0,0.0,0.01352667771654592
2024-02-01,0.045075937532643495,0.0,0.0,0.0,0.0
2024-03-01,0.027967854457094043,0.0,0.0,0.0,0.004662143804166741
2024-04-01,-0.03927688645267402,0.0,0.0,0.0,0.003773483705620695
2024-05-01,0.040994508708275035,0.0,0.0,0.0,0.004759528615148945
2024-06-01,0.008075848878606129,0.0,0.0,0.0,0.0038075640238919295
2024-07-01,0.01926646327782766,0.0,0.0,0.0,0.004649178183771863
2024-08-01,0.02046330536316865,0.0,0.0,0.0,0.004508256392045551
2024-09-01,0.017680577396800734,0.0,0.0,0.0,0.004288991541241405
2024-10-01,-0.025133898159809487,0.0,0.0,0.0,0.004222185261160805
2024-11-01,0.03648596298604945,0.0,0.0,0.0,0.0038385675657297558
2024-12-01,-0.03516376397407017,0.0,0.0,0.0,9.76858237093925e-05
2025-01-01,0.029070412963971837,0.0,0.0,0.0,0.011402200204081447
2025-02-01,-0.0026435150654797734,0.0,0.0,0.0,-0.00032700902990256964
2025-03-01,-0.04042115719788597,0.0,0.0,0.0,0.0036752850955366068
2025-04-01,0.0021036001525975845,0.0,0.0,0.0,0.0030514506841701206
2025-05-01,0.05319746883566867,0.0,0.0,0.0,0.003730525088857517
2025-06-01,0.03672835343195846,0.0,0.0,0.0,0.003304001548110058
2025-07-01,0.014705359317387368,0.0,0.0,0.0,0.003675042047498467
2025-08-01,0.02321180802359235,0.0,0.0,0.0,0.0035656277086246746
2025-09-01,0.03270082518676132,0.0,0.0,0.0,0.0032704200465825117
2025-10-01,0.019300588922938733,0.0,0.0,0.0,0.0036305311796429596
2025-11-01,-0.002539392848336819,0.0,0.0,0.0,0.002963673712773396
2025-12-01,0.007947783239443451,0.0,0.0,0.0,0.0014535161143311992
